layer,word_idx,row_uid,hidden_row_idx,n_active,recon_error,input_norm,recon_error_rel,text_id,word_position,word,surprisal,RT_prime,is_sentence_final
1,0,provo:1:3,1,5,0.09540285170078278,5.913062572479248,0.01613425277173519,1,3,now,9.602639198303224,5.224694479440398,0
1,1,provo:1:4,2,12,0.28327155113220215,6.271603107452393,0.04516732692718506,1,4,rumblings,21.732053756713867,5.173412176252037,0
1,2,provo:1:5,3,11,0.1354418247938156,4.8593316078186035,0.027872521430253983,1,5,that,1.4818065166473389,5.382037100071654,0
1,3,provo:1:6,4,13,0.13456600904464722,5.123922824859619,0.026262301951646805,1,6,Apple,8.228249549865723,5.265563938443052,0
1,4,provo:1:7,5,11,0.1468181610107422,4.90241003036499,0.0299481600522995,1,7,might,4.204497814178467,5.409233760489275,0
1,5,provo:1:8,6,12,0.12425659596920013,5.003350734710693,0.02483467571437359,1,8,soon,4.537541389465332,5.309646803294903,0
1,6,provo:1:9,7,53,1.663873553276062,5.398575305938721,0.30820605158805847,1,9,invade,14.264548301696776,5.318775088610563,0
1,7,provo:1:10,8,13,0.0919112116098404,4.713864803314209,0.019498057663440704,1,10,the,1.1605758666992188,5.354463891960388,0
1,8,provo:1:11,9,16,0.12777622044086456,4.927191257476807,0.02593287266790867,1,11,smart,9.46038818359375,5.462325259014535,0
1,9,provo:1:12,10,16,0.11973001807928085,5.065385818481445,0.023636899888515472,1,12,watch,6.052783012390137,5.48678470552675,0
1,10,provo:1:13,11,13,0.09536512941122055,4.818474292755127,0.019791562110185623,1,13,"space,",8.489280700683594,5.448469434855099,0
1,11,provo:1:14,12,17,0.15196460485458374,4.8337202072143555,0.0314384363591671,1,14,though,6.064347743988037,5.464522071333098,0
1,12,provo:1:15,13,13,0.11405929923057556,4.601265907287598,0.02478867769241333,1,15,the,3.118356466293335,5.309030373257138,0
1,13,provo:1:16,14,14,0.11988251656293869,4.840932369232178,0.024764344096183777,1,16,company,2.0776045322418213,5.296099624687863,0
1,14,provo:1:17,15,14,0.12892048060894012,4.51936149597168,0.02852625958621502,1,17,is,3.3922338485717773,4.977081758660586,0
1,15,provo:1:18,16,25,1.0006729364395142,4.8979339599609375,0.20430511236190796,1,18,maintaining,10.76820182800293,5.10036428409271,0
1,16,provo:1:19,17,15,0.11972623318433762,4.6690287590026855,0.025642642751336098,1,19,its,3.440037250518799,5.212852359253006,0
1,17,provo:1:20,18,61,1.9899952411651611,5.265221118927002,0.3779509365558624,1,20,customary,14.033546447753906,5.2914705958391846,0
1,18,provo:1:21,19,14,0.0976824164390564,4.695460319519043,0.02080358751118183,1,21,silence.,5.338743209838867,5.316270320610307,1
1,19,provo:1:22,20,17,0.10890056192874908,4.4489827156066895,0.024477632716298103,1,22,The,3.951192617416382,5.308472814112664,0
1,20,provo:1:23,21,13,0.126298725605011,4.919796466827393,0.02567153424024582,1,23,watch,8.03944206237793,5.460809468987344,0
1,21,provo:1:24,22,12,0.1273532211780548,4.994393348693848,0.025499237701296806,1,24,doesn't,7.980283260345459,5.297721551729052,0
1,22,provo:1:25,23,10,0.10789173096418381,4.490940093994141,0.02402430772781372,1,25,have,3.1285831928253174,5.344161543540056,0
1,23,provo:1:26,24,11,0.10172519832849503,4.450924396514893,0.022854847833514214,1,26,a,1.4793815612792969,5.236930885472067,0
1,24,provo:1:27,25,43,1.5506296157836914,5.245456695556641,0.2956138551235199,1,27,microphone,11.4409818649292,5.304613333030174,0
1,25,provo:1:28,26,10,0.10889612883329391,4.47550106048584,0.024331606924533844,1,28,or,3.372757911682129,5.393705114184788,0
1,26,provo:1:29,27,6,0.1008806899189949,4.6638102531433105,0.021630531176924706,1,29,"speaker,",4.979387283325195,5.342374401529882,0
1,27,provo:1:30,28,10,0.10469599813222885,4.471897602081299,0.023411985486745834,1,30,but,1.687007188796997,5.336567245076212,0
1,28,provo:1:31,29,9,0.12485344707965851,4.531404495239258,0.027552925050258636,1,31,you,6.07626485824585,5.341678257361852,0
1,29,provo:1:32,30,8,0.11383669078350067,4.496370792388916,0.025317460298538208,1,32,can,0.4079093933105469,5.272362668528905,0
1,30,provo:1:33,31,10,0.12505659461021423,4.61112642288208,0.027120616286993027,1,33,use,3.974891662597656,5.223153316303176,0
1,31,provo:1:34,32,9,0.0986294224858284,4.434534549713135,0.02224121242761612,1,34,it,2.203803062438965,5.378395612596495,0
1,32,provo:1:35,33,8,0.10028160363435745,4.335705757141113,0.02312924526631832,1,35,to,0.6706260442733765,5.286766723650478,0
1,33,provo:1:36,34,12,0.14157551527023315,4.747047424316406,0.0298239104449749,1,36,control,6.55855131149292,5.184615142619907,0
1,34,provo:1:37,35,8,0.10580867528915405,4.439579963684082,0.02383303828537464,1,37,the,1.6115421056747437,5.127342817027849,0
1,35,provo:1:38,36,9,0.11122377961874008,4.6963911056518555,0.023682819679379463,1,38,music,5.822147846221924,5.362644310831106,0
1,36,provo:1:39,37,10,0.1152752935886383,4.310027599334717,0.026745837181806564,1,39,on,4.693742275238037,5.423471914614126,0
1,37,provo:1:40,38,13,0.1423109471797943,4.558033466339111,0.031222006306052208,1,40,your,0.9076159000396729,5.357130004496276,0
